Draw,Date,Winning Number 1,2,3,4,5,6,Bonus Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize
1051,2023-01-21,21,26,30,32,33,35,44,35,1,5,3,3,0,0,3,3,0,18,1669558480,70,71552507,2824,1773611,143314,50000,2477370,5000
1050,2023-01-14,6,12,31,35,38,43,17,,2,4,3,3,1,1,0,3,1,17,1535083280,70,62134324,2866,1517587,144610,50000,2402116,5000
1049,2023-01-07,3,5,13,20,21,37,17,21,5,1,5,1,2,2,1,1,0,15,1727810100,89,48533992,2968,1455366,147061,50000,2462622,5000
1048,2022-12-31,6,12,17,21,32,39,30,,4,2,3,3,1,2,1,2,0,17,1612494508,102,44791515,3817,1196944,170086,50000,2721555,5000
1047,2022-12-24,2,20,33,40,42,44,32,,2,4,1,5,1,1,0,2,2,9,2748797875,83,49677071,2728,1511436,139530,50000,2313403,5000
1046,2022-12-17,7,16,25,29,35,36,28,,2,4,4,2,1,1,2,2,0,12,2011415719,57,70575991,2959,1359524,139560,50000,2260269,5000
1045,2022-12-10,6,14,15,19,21,41,37,,5,1,4,2,1,3,1,0,1,13,1990060443,67,64355189,2699,1597554,135872,50000,2280432,5000
1044,2022-12-03,12,17,20,26,28,36,4,"12,26",3,3,1,5,0,3,2,1,0,8,3136941235,72,58091505,2597,1610547,134226,50000,2254796,5000
1043,2022-11-26,3,5,12,22,26,31,19,5,4,2,3,3,2,1,2,1,0,17,1468646956,86,48385656,3156,1318494,155087,50000,2495858,5000
1042,2022-11-19,5,14,15,23,34,43,4,,3,3,4,2,1,2,1,1,1,20,1240663669,100,41355456,3567,1159391,157156,50000,2462593,5000
1041,2022-11-12,6,7,9,11,17,18,45,,6,0,4,2,3,3,0,0,0,25,935091165,85,45837803,3947,987133,167535,50000,2620869,5000
1040,2022-11-05,8,16,26,29,31,36,11,36,2,4,2,4,1,1,2,2,0,7,3660482625,63,67786716,2583,1653335,133245,50000,2235373,5000
1039,2022-10-29,2,3,6,19,36,39,26,,4,2,3,3,3,1,0,2,0,16,1585019672,80,52833990,2773,1524241,140403,50000,2359126,5000
